nome,cidade,telefone,area
A4 DESENVOLVIMENTO ORGANIZACIONAL,São José dos Campos,+55 12 98116-7809,Serviços
ACOSTA AEROSPACE,São José dos Campos,+55 12 3942-6328,Satélites | Aplicações | Serviços
ACRUX AEROSPACE TECHNOLOGIES,Osasco,+55 11 3599-3335 | +55 45 99849-1000,Satélites | Lançadores | Infraestrutura
AEL SISTEMAS,Porto Alegre,+55 51 2101-1200,Satélites | Software | Serviços
Aerocristaldo Industria e Comércio de Peças EIRELI,Areiópolis,+55 14 98104-0932,Infraestrutura | Serviços | Outros
AIRSHIP DO BRASIL,São Carlos,+55 16 3509-3500,Infraestrutura | Serviços
AKAER,São José dos Campos,+55 12 2139-1100,Serviços
"AMS KEPLER ESPAÇO, DEFESA E SISTEMAS",Rio de Janeiro,+55 21 3500-6636 | +55 12 3600-8088,Software | Serviços
ANDRADE GUTIERREZ ENGENHARIA,São Paulo,+55 61 3213-5001 | +55 11 5502-2309,Infraestrutura | Serviços
ATECH – NEGÓCIOS EM TECNOLOGIAS S/A,São Paulo,+55 11 3103-4600 | +55 11 99320-4950,Aplicações | Hardware | Software | Infraestrutura | Serviços
ATS4I,São Paulo,+55 11 3854-4221,Software | Serviços
Avibras Industria Aeroespacial S.A.,São José dos Campos,+55 12 3955-5300,Lançadores | Hardware | Infraestrutura | Serviços
BeByte Tecnologia Educacional S/A,São Paulo,+55 61 99911-2539,Software
BETA TELECOM,São José dos Campos,+55 12 3941-5054,Aplicações | Software | Serviços
BIDOIA E MELLO SOCIEDADE DE ADVOGADOS,São Paulo,+55 11 98105-9285,Serviços
Castro Leite Consultoria Ltda.,São José dos Campos,+55 12 991-3530,Lançadores | Aplicações | Serviços
CLAMPER INDÚSTRIA & COMÉRCIO S/A,Lagoa Santa,+55 31 3689-9500,Software | Infraestrutura | Serviços
COLLINS AEROSPACE,São José dos Campos,+55 21 99574-5099,Satélites | Software
COSMICUBES,São José dos Campos,+55 12 3923-2858,Satélites | Software | Serviços
CRIAR SPACE SYSTEMS - TECNOLOGIA AEROESPACIAL EIRELI,Ribeirão Preto,+55 16 99165-6060,Infraestrutura
CRON - Sistemas e Tecnologias Ltda.,São José dos Campos,,Satélites | Lançadores | Aplicações
DELTAV,São José dos Campos,+55 21 98743-3629,Lançadores | Aplicações | Hardware | Software
"EDGE OF SPACE INDUSTRIA, COMERCIO, ASSESSORIA E ENGENHARIA LTDA",Jacareí,+55 12 98825-81659,Lançadores | Aplicações | Software | Infraestrutura | Outros
EMSISTI Sistemas Espaciais & Tecnologia,Franca,+55 16 3722-2002,Satélites | Aplicações | Hardware | Software | Infraestrutura | Serviços
EQUATORIAL SISTEMAS,São José dos Campos,+55 12 2139-1100,Satélites | Serviços
ERMA TECH Industria e Soluções em Tecnologia Aeronáutica LTDA,São José dos Campos,+55 12 3939-1305 | +55 12 98892-0615,Serviços
ESPECTRO LTDA,Campinas,+55 19 3201-0794,Aplicações | Hardware | Software | Serviços
FIBRAFORTE,São José dos Campos,+55 12 3938-1416,Satélites | Hardware
FIGWAL,São José dos Campos,+55 12 9680-1500,Serviços | Outros
FONMART,São Luís,+55 98 3255-0700 | +55 98 98413-8135,Infraestrutura | Serviços
GAMATECH SOLUÇÕES TÉRMICAS,São José dos Campos,+55 12 3206-4305,Aplicações | Hardware | Software | Serviços
GMP Marcatto Indústria e Comércio de Peças LTDA,Mogi das Cruzes,+55 12 98144-2070,Outros
Grauna Aerospace Ltda.,São José dos Campos,+55 12 3221-3500,Satélites | Lançadores
HOMEM DO ESPAÇO,Nova Friburgo,+55 22 99926-57690,Serviços
HORUSEYE TECH,São José dos Campos,+55 12 98268-1871,Satélites | Lançadores | Aplicações | Hardware | Software | Serviços
INBRA AEROSPACE,Mauá,+55 11 2148-8600 R 239,Aplicações | Serviços
Innalogics Sistemas Computacionais Ltda.,Florianópolis,+55 48 99165-1971,Satélites | Aplicações | Hardware | Software | Infraestrutura | Serviços
ITAKAR,Itanhandu,+55 35 3361-2255,Infraestrutura | Serviços
LACE SERVICOS DE ENGENHARIA E REPRESENTACAO LTDA,São José dos Campos,+55 12 99770-2545,Aplicações | Hardware | Software | Infraestrutura | Serviços
LATECOERE DO BRASIL INDUSTRIA AERONAUTICA LTDA,Jacareí,+55 12 98169-5439,Satélites | Lançadores | Serviços | Outros
Legado Usinagem Ltda,São José dos Campos,+55 12 99186-5393,Lançadores | Infraestrutura | Serviços | Outros
LUNUS Comércio e Representação Eireli,São José dos Campos,+55 12 99602-1844,Satélites | Lançadores | Infraestrutura | Serviços
MASSUCATO,Campinas,+55 19 3246-0322,Serviços
Modco Engenharia,São Paulo,+55 11 97105-1875,Hardware | Software | Serviços
MOOG,São Paulo,+55 11 3572-0400,Satélites | Lançadores | Software | Infraestrutura
MTS Sistemas do Brasil LTDA,São José dos Campos,+55 11 5501-5300,Hardware | Infraestrutura | Serviços
NEURON ELETRÔNICA,São José dos Campos,+55 12 99739-3056,Satélites | Serviços
OMNISYS ENGENHARIA,São Bernado do Campo,+55 12 3205-0070,Satélites | Hardware | Software | Serviços
OPTO SPACE & DEFENSE,São Carlos,+55 16 3509-1000,Satélites | Aplicações | Hardware | Software
ROHDE & SCHWARZ,São Paulo,+55 11 2246-0000,Aplicações | Hardware
ROSENBERGER,Caçapava,+55 12 3221-8513 | +55 12 3221-850,Satélites | Hardware
RSA,Rio de Janeiro,+55 21 2215-7151 | +55 21 2210-2393,Infraestrutura | Serviços
SIATT,São José dos Campos,+55 12 2012-0070,Satélites | Software
SPECTRA TECNOLOGIA,São Paulo,+55 11 5574-6544,Hardware | Software | Serviços | Outros
STMICROELECTRONICS,São Paulo,+55 11 2101-1650,Hardware | Outros
SUBSTANCIA,São José dos Campos,+55 12 98100-1165,Aplicações | Serviços
Telespazio Brasil S/A,Rio de Janeiro,+55 21 2141-3110,Satélites | Hardware | Serviços
Téxvn Group,Rio de Janeiro,+55 21 98681-9086,Aplicações | Software | Serviços
TROYA,São José dos Campos,+55 12 3935-4100,Serviços
VILLARES METALS,Sumaré,+55 19 3303-8139 | +55 19 99294-9160,Aplicações | Serviços
Visiona Tecnologia Espacial S.A.,São José dos Campos,+55 12 2138-5801,Satélites | Aplicações | Software | Serviços
VOLUDI,Caçapava,+55 12 99685-2346,Serviços
WIKKI,Rio de Janeiro,+55 21 3733-1801 | +55 21 96724-3941,Software | Serviços | Outros
Winnstal Indústria e Comércio Ltda,São José dos Campos,+55 12 99170-5873,Serviços | Outros
ZENIT AEROSPACE - EMPRESA JÚNIOR DE ENGENHARIA AEROESPACIAL DA UNIVERSIDADE DE BRASÍLIA,Brasília,+55 61 98277-1844,Software | Serviços | Outros
