codigo;nome;cidade;endereco;descricao_portugues;descricao_ingles;slogan;ponto_de_contato;email;site;telefone;area;produtos
1;A4 DESENVOLVIMENTO ORGANIZACIONAL;São José dos Campos;Rua Canadá, 104 - Vista Verde;Empresa de consultoria em melhoria contínua de processos organizacionais, excelência na gestão, certificação de sistema da qualidade com base na ISO 9001, AS9100 e AS9120, gestão de risco, sistema de gestão de segurança operacional e garantia do produto aeroespacial. Com experiência e vivência em formação de times para solução de problemas e melhoria de processos e auditoria de processos.;Consulting company in continuous improvement of organizational processes, management excellence, quality system certification based on ISO 9001, AS9100 and AS9120, risk management, operational safety management system and aerospace product guarantee. With experience and experience in forming teams to solve problems and improve processes and audit processes.;Soluções e Resultados ao seu alcance levando seu negócio para o próximo nível.;Fernando Antonio Leite;fernando@a4do.com.br;www.a4do.com.br;+55 12 98116-7809;Serviços;Consultoria em processos organizacionais | Diagnóstico de processos e implementação de Sistemas Integrados de Gestão | Implementação de projeto de sistemas Manufacturing Executions System-MÊS | Enterprise Resource Planing – ERP/SAP | Product Lifecycle Management – PLM | Auditoria Interna
2;ACOSTA AEROSPACE;São José dos Campos;Rua Comendador Remo Cesaroni, 135/43;Acosta Aerospace é uma empresa de engenharia espacial e aplicações. Desenvolvemos os satélites da série SARA (Satélites para Áreas Remotas e Agricultura)®, uma constelação de nanosatélites de órbita baixa para comunicação internet das coisas (IoT) em áreas remotas, em particular, para a agricultura. No campo dos serviços, nossas aplicações de inteligência geográfica incluem análises de imagens de satélites (sensoriamento remoto) com auxílio de inteligência artificial, possibilitando a rápida leitura de diversos parâmetros e a comparação automática de áreas em progressão temporal. Somos uma empresa jovem, focada em inovação e tecnologia. Nossos profissionais possuem sólida e longa experiência em diversos projetos de P&D e desenvolvimento de produtos no setor aeroespacial incluindo: sistemas espaciais, drones, imagens de satélite, tecnologia aeronáutica, qualidade e certificação aeroespacial, dentre outros.;Acosta Aerospace is a space technology company, focused on state-of-the-art satellite engineering, manufacturing and integration, and direct application services to end markets such as agriculture, energy, and mining. We look at the cosmos and we like it. We will travel among the stars, but on the journey, we will make EARTH a better place. This is our mission. Our engineering competence is strong, consisting of large industry experience, with successful past projects in aerospace. We deal with difficult engineering problems, which require prior experience and up-to-date knowledge. We bring solid and market proved background in aerospace mechanics, electronics, RF, embedded software, firmware, aerospace design and system integration, systems engineering, product development, market analysis and sales. Innovation and hard work are at the heart of everything we do. Please get in touch and let us know how we can help you.;Tecnologia Espacial;Luis Acosta;luis@acosta-aerospace.com;www.acosta-aerospace.com;+55 12 3942-6328;Satélites | Aplicações | Serviços;SARA (Satélites para Áreas Remotas e Agricultura): Constelação de nanosatélites para comunicação IoT na agricultura. | Inteligência geográfica baseada em imagens de satélites (Sensoriamento remoto / observação da terra), com auxílio de inteligência artificial. | Conectividade em solo com auxílio de satélite: Coleta, transmissão e análise de dados e comunicação com a internet via enlace satelital.
3;ACRUX AEROSPACE TECHNOLOGIES;Osasco;Rua Pardinho 55;A startup Acrux Aerospace Technologies nasceu em 2008, apoiada e orientada pela incubadora de empreendimentos aeroespaciais INCUBAERO, sediada no Comando Geral de Tecnologia Aeroespacial – DCTA em São José dos Campos. Com o DNA de lean startup, nossos processos e valores permanecem os mesmos até hoje: Entregar o melhor da tecnologia Aeroespacial para nossos clientes, seja com projetos no Solo, no Ar ou no Espaço. Com o passar dos anos, a Acrux foi se diversificando, criando assim 2 áreas de atuação principal, um ligado ao mercado de UAS táticos para emprego em segurança pública e monitoramento, assim como aplicações agrícolas e ambientais, com MTOW de até 45kg. A outra área de atuação é direcionada a foguetes de sondagem e lançadores, notadamente em estruturas de materiais compósitos, propulsores, sistemas de voo e sistemas de suporte, seja lançando sua carga útil ou apoiando sua operação, a equipe da Acrux propõe soluções customizadas e acessíveis a seus parceiros.;The startup Acrux Aerospace Technologies was born in 2008, supported and guided by the incubator of aerospace ventures INCUBAERO, headquartered at the General Command of Aerospace Technology - DCTA in São José dos Campos. With the lean startup DNA, our processes and values remain the same today. Deliver the best of aerospace technology to our customers, whatever in projects on the ground, in the air or in space. Over the years, Acrux has diversified, thus creating 2 main areas of activity, one linked to the tactical UAS market for use in public security, surveillance and monitoring, as well as agricultural and environmental applications, with MTOW of up to 45kg. The other area of expertise is aimed to operations with sounding rockets and launchers, notably in composite structures, liquid and solid rocket engines, flight systems and support systems, independently if launching their payload or supporting their operations, Acrux team always proposes customized and affordable solutions to our partners.;Inspirando e Inovando, esse é o nosso jeito.;Oswaldo B. Loureda;oswaldobl@acruxtech.com.br;www.acruxtech.com.br;+55 11 3599-3335 | +55 45 99849-1000;Satélites | Lançadores | Infraestrutura;FOG30K: Foguete de Sondagem para 30km de apogeu | FOG100K: Foguete de Sondagem para 100km de apogeu | FOG120K-L: Foguete de Sondagem para 120km de apogeu com Motor-Foguete a Propelente Líquido - MFPL | MONTENEGRO: Família de veículos lançadores de Micro e Nano Satélites, em fase de TRL 3. | MFPS e MPFL: Propulsores de foguete a propelente sólido e líquido customizados e entregues diretamente no centro de lançamento. | Estruturas leves: Estruturas manufaturadas por processos convencionais, ou aditivos em ligas de titânio e alumínio | Delta VI: ARPs em compósito, com 500km de autonomia e MTOW de 45kg
4;AEL SISTEMAS;Porto Alegre;Av. Sertório, 4400 - Bairro Jardim Floresta;A AEL sistemas é uma empresa Brasileira, que há quase 40 anos, se dedica a projeto, desenvolvimento, fabricação, manutenção e suporte logístico de avançados sistemas eletrônicos, para aplicação em plataformas terrestres, marítimas e aeroespaciais. Através de tecnologias e conhecimentos avançados, infraestrutura moderna e trei- namento sistemático, a AEL produz solu- ções de última geração, confiáveis e inova- doras, com a qualidade de seus produtos e serviços reconhecidos internacionalmente. Considerada um centro de excelência em soluções de defesa, a AEL faz parte da ELBIT Systems, Grupo Israelense entre os líderes mundiais em Defesa e Segurança pública. Com isso a empresa consegue agregar as melhores tecnologias mundiais, à experiência acumulada e ao conhecimento das necessidades do mercado, oferecendo soluções integradas completas em diferentes sistemas e em variadas plataformas, otimizando a capacidade operacional e eficiência das missões. No segmento espacial, a AEL participou junto com o INPE (Instituto Nacional de Pesquisa Espacial) de diversos programas que envolveram todo o ciclo de vida do projeto, iniciando no desenvolvimento e indo até a fase de produção seriada. Como exemplos dessa parceria podemos citar a participação no satélite MECB (Missão Espacial Completa Brasileira) e no CBERS 1, 2, 3 e 4 (Satélite Sino Brasileiro de Recursos Terrestre) onde a AEL forneceu todo o sistema de Power Supply e que está atualmente em operação, superando a expectativa de vida projetada. Atualmente a empresa está fornecendo soluções para o satélite Amazônia I. Todos os processos de produção especial seguiram as normas e procedimentos da ESA;AEL Sistemas is a Brazilian company, which for almost 40 years, has been dedicated to the design, development, manufacture, maintenance and logistical support of advanced electronic systems, for application on terrestrial, marine and aerospace platforms. Through advanced technologies and knowledge, modern infrastructure and systematic training, AEL produces innovative, reliable and last generation solutions, with the quality of its products and services recognized internationally. In the space segment, AEL participated together with INPE (National Institute for Space Research) in several programs that involved the entire life cycle of the project, starting with development and going through the series production phase. As examples of this partnership we can mention the participation in the satellite MECB (Complete Brazilian Space Mission) and CBERS 1, 2, 3 and 4 (Brazilian Bell Terrestrial Resources Satellite) where AEL supplied the entire Power Supply system and which is currently in operation, exceeding the projected life expectancy. The company is currently providing solutions for the Amazonia I satellite.;Inovação e Tecnologia para a Defesa Nacional.;Mauro Beirão;mbeirao@ael.com.br;www.ael.com.br;+55 51 2101-1200;Satélites | Software | Serviços;Power Condition Unit (PCU), qualificado em voo para os satélites CBERS 1, 2, 3, 4 e 4 A. | DC/DC Converters, qualificado em voo para os satélites CBERS 1, 2, 3, 4 e 4 A e Amazonia I. | Battery Charge Control (BCC), qualificado em voo para os satélites CBERS 1, 2, 3, 4 e 4 A. 4. | On Board Computer (OBC) LEON 3 based, TRL 6. 5. | Capacidade e Processos produtivos para segmento espacial (High-rel SMT Technology for Space Processes ECSSA-Q-70-38). | Capacidade de desenvolvimento de sistemas baseados em ASIC/FPGA seguindo a ECSS-Q-60-02 (ToT da Thales Alenia Space). | Equipamentos de Teste em Solo e Simuladores. | Serviços de Engenharia de Sistemas.
5;Aerocristaldo Industria e Comércio de Peças EIRELI;Areiópolis;Avenida Vereador Dácio Helene, A, 200;A Aerocris foi fundada em fevereiro de 2007 e está localizada no centro do estado de São Paulo, na cidade de Areiópolis. Somos uma empresa de capital 100% nacional, especializada em elaboração de projetos, fabricação de ferramentais, usinagem de precisão e montagens de componentes aeroespaciais. Nossa equipe é formada por profissionais altamente qualificados, com larga experiência e know-how. Nosso parque fabril é equipado com centros de usinagem de 3, 4 e 5 eixos, tornos CNC e máquinas convencionais;Aerocris was founded in February 2007 and is located in the center of the state of São Paulo, in the city of Areiópolis. We are a 100% national capital company, specializing in project design, tooling manufacturing, precision machining and assembly of aerospace components. Our team is formed by highly qualified professionals, with extensive experience and know-how. Our industrial park is equipped with 3, 4 and 5 axis machining centers, CNC lathes and conventional machines.;Ser referência nos negócios em que atua.;HUGO DARIO FERNANDES CRISTALDO;dario.cristaldo@aerocris.ind.br;www.aerocris.ind.br;+55 14 98104-0932;Infraestrutura | Serviços | Outros;Soluções para processos, produtos e serviços de alta tecnologia
6;AIRSHIP DO BRASIL;São Carlos;Rua Christiano Rodrigues Machado, 10 - Jardim Real;A AIRSHIP DO BRASIL é especializada em desenvolver, fabricar, comercializar e operar aeronaves e soluções, utilizando tecnologias MAIS LEVE QUE O AR - LTA (Lighter Than Air), reconhecida por incorporar em seus projetos o que há de mais avançado em tecnologia. Focada no desenvolvimento de equipamentos mais leves que o ar voltados para o transporte de carga (especialmente cargas de grande porte/indivisíveis, alto valor agregado e para locais de difícil acesso terrestre), patrulhamento de infraestruturas, serviços de sensoriamento e monitoramento, a AIRSHIP oferece ainda serviços de apoio logístico, segurança, vigilância, publicidade, geofísica aérea, meteorologia e meio ambiente. Empresa 100% nacional pertencente ao grupo de Empresas BERTOLINI, localizada no interior de São Paulo, em São Carlos. A Airship se destaca também por ser capaz de realizar atividades no ciclo inteiro da tecnologia mais leve que o ar: Pesquisa, Desenvolvimento, Fabricação, Certificação, Operação, Manutenção, Formação de tripulação e piloto.;AIRSHIP DO BRASIL is specialized in developing, manufacturing, marketing and operating aircrafts using LTA-lighter than air technology. It is acknowledged for incorporating in their designs the most advanced technology. Focused on developing lighter than air equipment, geared towards cargo transport, infrastructure patrolling, sensoring and monitoring services, ADB also offers services of logistical support, security, surveillance, advertising, airborne geophysics, meteorology and environmental protection. Located in São Carlos - São Paulo - ADB is a 100% Brazilian company belonging to BERTOLINI enterprises. AIRSHIP DO BRASIL excels for being capable of acting in the entire lighterthan-airs cycle: Research, Development, Manufacture, Certification, Operation, Maintenance, Pilot and crew training;mais leve que o ar, transportando o progresso de uma nação;Maria Cecília Rizzo Senhor;cecilia@adb.ind.br;www.adb.ind.br;+55 16 3509-3500;Infraestrutura | Serviços;Projeto SAGA - Satélite Atmosférico de Grande Altitude.
7;AKAER;São José dos Campos;Av. Cesare Monsueto Giulio Lattes, 501;A Akaer é especializada no desenvolvimento de produtos de alta tecnologia com sede em São José dos Campos, Brasil. Desde sua fundação em 1992, a Akaer desenvolve produtos de alta tecnologia para os mercados aeroespacial e de defesa, cumprindo altos padrões de qualidade e entregando com excelência. A Akaer conta com uma equipe altamente qualificada de profissionais, apoiada pelas ferramentas tecnológicas mais avançadas e práticas e processos de gestão bem estabelecidos. Com mais de 25 anos de experiência em inovação tecnológica na aeronáutica, a empresa é atualmente uma das principais provedoras de soluções completas no segmento aeroespacial e de defesa no Brasil. Desde o projeto de peças e segmentos, passando pela integração de sistemas, aquisição de tecnologia, treinamento e capacitação de pessoal, soluções de manufatura e gerenciamento, a Akaer oferece as soluções mais inovadoras, econômicas e customizadas para suas necessidades.;Akaer is a technology solutions company based in São José dos Campos, Brazil. Since its foundation in 1992, Akaer develops high technology products for Aerospace and Defense markets, complying with high quality standards and delivering with excellence. Akaer counts with a highly qualified team of professionals supported by the most advanced technology tools and well established management practices and processes. With more than 25 years of experience in technology innovation in aeronautics, the company is currently one of the main providers of complete solutions on aerospace and defense segments in Brazil. From the project of parts and segments, through systems integration, technology procurement, personnel training and capacitation, manufacturing and management solutions, Akaer provides the most innovative, cost effective and optimized solutions customized to your needs.;-;Fausto Ferreira;comercial@akaer.com.br;www.akaer.com.br;+55 12 2139-1100;Serviços;Engenharia | Ferramental e automação | Interiores e monumentos de aeronaves | Manufatura e industrialização | Modernização e modificação | Projeto: estruturas, mecanismos e sistemas | Sistemas embarcados
8;AMS KEPLER ESPAÇO, DEFESA E SISTEMAS;Rio de Janeiro;Av. Rio Branco 115, 190 andar;Empresa tem um perfil de desenvolvimento de novas tecnologias e de inovação muito forte. Por meio de projetos de subvenção econômica da FINEP, FAPESP e, por meio de recursos próprios, a empresa está constantemente investindo em soluções inovadoras. Ela está capacitada para o desenvolvimento de sistemas de software para estações terrenas de satélites, com um produto usado há quase 20 anos pelo INPE: Multi Satellite Station System MS3). Além deste, a empresa tem produtos para planejamento de missão. simulação de satélites. comando, controle e rastreio de satélites. especificação e projeto de missões e sistemas espaciais. A AMS Kepler também desenvolve soluções em ambiente de nuvem computacional com o uso massivo de séries temporais de imagens de múltiplos satélites. Atualmente ela tem feito uso dos serviços da AWS. Por fim, a empresa está capacitada para desenvolver soluções em Processamento Digital de Imagens para diversos fins, usando desde as imagens gratuitas de média resolução espacial, até as imagens submétricas, passando pelas constelações de pequenos satélites, como a constelação Dove da Planet Labs.;The company has a very strong profile of innovation and developing new technologies. Through economic subsidy pro- jects from FINEP, FAPESP and through its own resources, the company is constantly investing in innovative solutions. It is capable of developing software systems for satellite ground stations, with a robust product used for nearly 20 years by INPE: Multi Satellite Station System (MS3). In addition to this, the company has products for mission planning. satellite simulation. command, control and tracking of satellites. specification and design of space missions and systems. AMS Kepler also develops solutions in a cloud computing environment with the massive use of image time series from multiple satellites. It is currently providing data for the AWS Open Data. Finally, the company is able to develop Digital Image Processing solutions for several purposes, using everything from free images of medium spatial resolution, to commercial sub-metric images, passing through the small satellite constellations, such as the Dove constellation from Planet Labs.;Você no foco de nossa trajetória;Antonio Machado e Silva;antonio@amskepler.com;www.amskepler.com;+55 21 3500-6636 | +55 12 3600-8088;Software | Serviços;MS3 Marlin, Sailfish e Swordfish (TRL9) | STAC for CBERS data on AWS (TRL9) | C3I: COMMAND, CONTROL, COMMUNICATION & INTELIGENCE (TRL4) | Sistema responsável pelo controle, rastreio, comunicação - Análise de telemetria - Programação de recepção, planejamento de missão e simulação de satélite | Sistema SPECSAT (TRL3)
9;ANDRADE GUTIERREZ ENGENHARIA;São Paulo;Av. da Nações Unidas, 12.495, 50 andar, Brooklin;Andrade Gutierrez Engenharia é uma empreiteira geral brasileira que presta serviços de construção pesada para clientes em todo o mundo. A empresa está focada na execução de projetos de alta complexidade, estruturados e sustentáveis. AGE foi fundada em 1948 em Belo Horizonte, Brasil. Desde então, participou de algumas das obras mais importantes da história do país. Com um histórico de mais de 950 projetos realizados em 25 países e nos mais diversos segmentos de mercado, como infraestrutura, energia, óleo & gás e mobilidade urbana. Entre seus projetos estão: 320 rodovias, 37 hidrelétricas, 30 metrôs, 21 refinarias, 19 aeroportos, 19 ferrovias, 7 termelétricas, etc. Atualmente, a AGE é a maior empresa brasileira de engenharia, suprimentos e construção (EPC) e o único player integrado com histórico de sucesso e carteira de pedidos sólida capaz de aproveitar o crescimento do setor e atuar em toda a cadeia de infraestrutura. O forte histórico da AGE resultou em adições relevantes à carteira da empresa nos últimos anos, com clientes de primeira linha em 5 países em diferentes setores. Em seu último comunicado, a AGE reportou uma carteira de pedidos de mais de R $ 8,2 bilhões, R $ 4,2 bilhões de receita líquida e R $ 543 milhões de EBITDA. A empresa possui um excelente benchmark de zero garantias executadas ou pagas em qualquer de seus projetos entregues em todo o mundo.;Andrade Gutierrez Engenharia is a Brazilian general contractor that provides heavy construction services to costumers worldwide. The company is focused on performing high complex, structured and sustainable projects. AGE was founded in 1948 in Belo Horizonte, Brazil. Since then it has participated in some of the most important works in the country’s history. With a track record of over 950 projects carried out in 25 countries and in the most varied market segments, such as infrastructure, energy, oil & gas and urban mobility. Among its projects are: 320 highways, 37 hydropower plants, 30 subways, 21 refineries, 19 airports, 19 railroads, 7 thermal power plants, etc. Currently, AGE is the largest Brazilian engineering, procurement & construction (EPC) company and the only integrated player with a successful track record & solid backlog capable to seize the sector growth and to perform in the entire infrastructure chain. AGE ?s strong track record resulted in relevant additions to the company’s backlog in the past years with prime name clients across 5 countries in different sectors. On its latest statement, AGE has reported a backlog of over BRL 8.2 bi, a BRL 4.2 bi net revenue and a BRL 543-million EBITDA. The company has an excellent benchmark of zero guarantees executed or paid on any of its projects delivered worldwide.;Engenharia;Ricardo Newton Fortini Pimentel;ricardo.fortini@agnet.com.br;www.andradegutierrez.com;+55 61 3213-5001 | +55 11 5502-2309;Infraestrutura | Serviços;A empresa desenvolve soluções de engenharia
10;ATECH – NEGÓCIOS EM TECNOLOGIAS S/A;São Paulo;Rua Rocio, Ed. Dornier Merkur, 313 - 2º, 5º, 6º, 8º e 10º andares;ATECH, empresa do grupo Embraer, é uma software house brasileira especializada no desenvolvimento de soluções de apoio à tomada de decisão. Com experiência no mercado brasileiro e internacional em projetos de sistemas críticos, atua nos segmentos de Defesa, Governo, Segurança Pública, Espacial e Corporativo, onde desenvolve sistemas e soluções inovadoras e diferenciadas, alicerçadas em experiência consagrada em Controle de Tráfego Aéreo. Certificada pelo Ministério da Defesa do Brasil como Empresa Estratégica de Defesa (EED), o que consolida a importância do trabalho realizado, colaborando para a garantia da autonomia tecnológica do país.;ATECH, a company of the Embraer group, is a Brazilian software house specialized in the development of decision support solutions. With experience in the Brazilian and international market in critical systems projects, it operates in the Defense, Government, Public Security, Space and Corporate segments, where it develops innovative and differentiated systems and solutions, based on established experience in Air Traffic Control. Certified by the Ministry of Defense of Brazil as a Strategic Defense Company, which consolidates the importance of the work carried out, collaborating to guarantee the country’s technological autonomy.;Passion for Technology;JEFFERSON VALDECI DA SILVA SANTOS;jeff_577@hotmail.com;www.atech.com.br;+55 11 3103-4600 | +55 11 99320-4950;Aplicações | Hardware | Software | Infraestrutura | Serviços;Arkhe Governance | TRL 8 - Arkhe Cyber - Gestão do Espaço Cibernético | TRL 8 - Arkhe Data Analysis
